Player_ID,Team_ID,Player,First Name,Last Name,PPG,APG,RPG,SPG,3P%
68,36,Geo Baker,Geo,Baker,19,5,6,0,0.375
172,27,Gabe Brown,Gabe,Brown,15,1.5,1.5,0,0.5
535,30,Gabe Stefanini,Gabe,Stefanini,7,3,0,0,0.333
248,51,Gabe Kalscheur,Gabe,Kalscheur,13,2,4,2.5,0.2
774,43,Francisco Farabello,Francisco,Farabello,1.5,0.5,3.5,0.5,0.2
697,57,Fousseyni Drame,Fousseyni,Drame,3,0.5,4,0.5,0
303,42,Foster Loyer,Foster,Loyer,12,4,6,0,0.2
515,9,Flo Thamba,Flo,Thamba,7,0.5,5.5,1.5,0
571,46,Finn Sullivan,Finn,Sullivan,6,4,4,0,0.2
599,13,Filip Rebraca,Filip,Rebraca,5,1,9,1,0
379,15,Fabian White,Fabian,White,10,1,6.5,0,0.222
527,65,Evan Johnson,Evan,Johnson,7,0,4,1,0.333
637,38,Eugene Brown III,Eugene,Brown,4.5,0.5,1,0,0
642,33,Ethan Anderson,Ethan,Anderson,4,4,5,0,0
507,4,"Eric Hunter, Jr.",Eric,"Hunter,",7.5,2.5,4,1,0.286
279,10,Eric Dixon,Eric,Dixon,12.5,0.5,7,1,0.75
212,55,Enrique Freeman,Enrique,Freeman,14,1,10,1,0
543,19,Emmanuel Akot,Emmanuel,Akot,7,0,0,0,0.167
378,43,Emmanuel Miller,Emmanuel,Miller,10,0.5,4.5,1.5,0
60,35,Eli Brooks,Eli,Brooks,19.5,5.5,5,1.5,0.333
668,41,Efton Reid,Efton,Reid,4,0,3,0,0
326,43,"Eddie Lampkin, Jr.",Eddie,"Lampkin,",11,1,9.5,0.5,0
775,44,Earl Timberlake,Earl,Timberlake,1.5,1,1,0,0
124,38,E.J. Liddell,E.J.,Liddell,16.5,2,8,1.5,0.333
494,59,E.J. Jarvis,E.J.,Jarvis,8,2,2,0,0
389,64,E.J. Anosike,E.J.,Anosike,10,0,10,0,0
563,61,Dylan Painter,Dylan,Painter,6,1,2,2,0
538,67,Drue Drinnon,Drue,Drinnon,7,1,0,0,0.5
4,1,Drew Timme,Drew,Timme,28.5,3,13.5,0.5,0.5
117,33,Drew Peterson,Drew,Peterson,17,3,5,0,0.429
652,48,Drake Jeffries,Drake,Jeffries,4,0,10,0,0
252,39,Doug Wilson,Doug,Wilson,13,3,4,4,0
125,57,Doug Edert,Doug,Edert,16.5,2,3.5,0,0.75
149,32,D'Moi Hodge,D'Moi,Hodge,16,1,6,0,0.167
185,32,Dischon Thomas,Dischon,Thomas,15,1,1,2,0.714
48,63,Devante Carter,Devante,Carter,20,7,5,2,0.333
682,17,Devan Cambridge,Devan,Cambridge,3.5,0,4.5,0,0
660,32,Deshon Parker,Deshon,Parker,4,2,1,2,0
393,58,Deshaun Wade,Deshaun,Wade,10,2,3,0,0.5
220,64,Deon Stroud,Deon,Stroud,14,2,3,2,0.25
645,60,Demaree King,Demaree,King,4,5,3,1,0
542,68,De'Lazarus Keys,De'Lazarus,Keys,7,1,0,0,0
334,32,Deante Johnson,Deante,Johnson,11,1,7,1,0
209,20,DeAndre Williams,DeAndre,Williams,14,0.5,6,0.5,0
458,12,Davonte Davis,Davonte,Davis,8,2,3,1.5,0.333
482,7,Davion Mintz,Davion,Mintz,8,2,3,1,0.333
562,8,Davion Warren,Davion,Warren,6,2,3.5,1.5,0.25
454,3,David McCormack,David,McCormack,8,1,6.5,1.5,0
263,32,David Roddy,David,Roddy,13,4,6,1,0.167
674,53,David Jean-Baptiste,David,Jean-Baptiste,4,1,3,2,0
793,58,D'Avian Houston,D'Avian,Houston,1,1,1,1,0
127,57,Daryl Banks III,Daryl,Banks,16.5,1.5,2.5,1,0.545
356,50,Darryl Morsell,Darryl,Morsell,11,1,7,0,0
619,29,Darius Maddox,Darius,Maddox,5,0,4,0,0
673,37,Darius Miles,Darius,Miles,4,1,0,0,0
211,41,Darius Days,Darius,Days,14,0,12,2,0.333
456,53,Darius Banks,Darius,Banks,8,1,13,2,0
487,60,Darian Adams,Darian,Adams,8,4,5,2,0.2
754,64,"Dante Maddox, Jr.",Dante,"Maddox,",2,0,1,0,0
407,47,Dane Goodwin,Dane,Goodwin,9.7,0.3,4.3,0,0.625
780,16,Da'Monte Williams,Da'Monte,Williams,1,0.5,4.5,1,0
375,43,Damion Baugh,Damion,Baugh,10,6,7,1,0.333
300,64,Damari Milstead,Damari,Milstead,12,3,5,3,0.667
361,2,Dalen Terry,Dalen,Terry,10.5,4.5,5.5,3,0.75
597,9,Dale Bonner,Dale,Bonner,5,2.5,3,0.5,0.286
446,3,"Dajuan Harris, Jr.",Dajuan,"Harris,",8.5,2.5,1.5,1,0.75
451,21,Courtney Ramey,Courtney,Ramey,8.5,1.5,3.5,2.5,0.25
75,47,Cormac Ryan,Cormac,Ryan,18,1,3.7,1,0.524
152,65,Corey Allen,Corey,Allen,16,2,1,0,0.4
800,13,Connor McCaffery,Connor,McCaffery,0,3,3,0,0
108,10,Collin Gillespie,Collin,Gillespie,17,4,2.5,0.5,0.333
546,16,Coleman Hawkins,Coleman,Hawkins,6.5,1.5,6,0,0.2
590,5,Cody Riley,Cody,Riley,5.5,0.5,6.5,1,1
175,36,Cliff Omoruyi,Cliff,Omoruyi,15,3,6,0,0
514,52,Clayton Henry,Clayton,Henry,7,1.5,5,0.5,0.429
639,23,Chucky Hepburn,Chucky,Hepburn,4,2.5,4,0.5,0.2
